trained model checkpoints/epoch_34_listener is loaded
trained model checkpoints/epoch_34_speller is loaded
[0/328][255/578] prediction done | time : 0.36s
[0/328][256/578] prediction done | time : 0.36s
[0/328][257/578] prediction done | time : 0.37s
[0/328][258/578] prediction done | time : 0.37s
[0/328][259/578] prediction done | time : 0.37s
[0/328][260/578] prediction done | time : 0.37s
[0/328][261/578] prediction done | time : 0.37s
[0/328][262/578] prediction done | time : 0.37s
[0/328][263/578] prediction done | time : 0.37s
[0/328][264/578] prediction done | time : 0.37s
[0/328][265/578] prediction done | time : 0.38s
[0/328][266/578] prediction done | time : 0.38s
[0/328][267/578] prediction done | time : 0.38s
[0/328][268/578] prediction done | time : 0.38s
[0/328][269/578] prediction done | time : 0.38s
[0/328][270/578] prediction done | time : 0.39s
[0/328][271/578] prediction done | time : 0.39s
[0/328][272/578] prediction done | time : 0.39s
[0/328][273/578] prediction done | time : 0.39s
[0/328][274/578] prediction done | time : 0.39s
[0/328][275/578] prediction done | time : 0.40s
[0/328][276/578] prediction done | time : 0.41s
[0/328][277/578] prediction done | time : 0.40s
[0/328][278/578] prediction done | time : 0.39s
[0/328][279/578] prediction done | time : 0.40s
[0/328][280/578] prediction done | time : 0.40s
[0/328][281/578] prediction done | time : 0.40s
[0/328][282/578] prediction done | time : 0.40s
[0/328][283/578] prediction done | time : 0.40s
[0/328][284/578] prediction done | time : 0.40s
[0/328][285/578] prediction done | time : 0.41s
[0/328][286/578] prediction done | time : 0.41s
[0/328][287/578] prediction done | time : 0.41s
[0/328][288/578] prediction done | time : 0.41s
[0/328][289/578] prediction done | time : 0.41s
[0/328][290/578] prediction done | time : 0.41s
[0/328][291/578] prediction done | time : 0.41s
[0/328][292/578] prediction done | time : 0.42s
[0/328][293/578] prediction done | time : 0.42s
[0/328][294/578] prediction done | time : 0.42s
[0/328][295/578] prediction done | time : 0.42s
[0/328][296/578] prediction done | time : 0.42s
[0/328][297/578] prediction done | time : 0.42s
[0/328][298/578] prediction done | time : 0.43s
[0/328][299/578] prediction done | time : 0.43s
[0/328][300/578] prediction done | time : 0.44s
[0/328][301/578] prediction done | time : 0.44s
[0/328][302/578] prediction done | time : 0.43s
[0/328][303/578] prediction done | time : 0.44s
[0/328][304/578] prediction done | time : 0.43s
[0/328][305/578] prediction done | time : 0.43s
[0/328][306/578] prediction done | time : 0.44s
[0/328][307/578] prediction done | time : 0.44s
[0/328][308/578] prediction done | time : 0.44s
[0/328][309/578] prediction done | time : 0.44s
[0/328][310/578] prediction done | time : 0.44s
[0/328][311/578] prediction done | time : 0.44s
[0/328][312/578] prediction done | time : 0.45s
[0/328][313/578] prediction done | time : 0.45s
[0/328][314/578] prediction done | time : 0.45s
[0/328][315/578] prediction done | time : 0.45s
[0/328][316/578] prediction done | time : 0.45s
[0/328][317/578] prediction done | time : 0.45s
[0/328][318/578] prediction done | time : 0.45s
[0/328][319/578] prediction done | time : 0.45s
[0/328][320/578] prediction done | time : 0.46s
[0/328][321/578] prediction done | time : 0.46s
[0/328][322/578] prediction done | time : 0.47s
[0/328][323/578] prediction done | time : 0.47s
[0/328][324/578] prediction done | time : 0.46s
[0/328][325/578] prediction done | time : 0.46s
